2024-03-18 13:45:45.519 INFO  (qtp693267461-26-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97822666085157+TO+41.15809098203531]+AND+longitude:[28.877929806463108+TO+29.116499242446164]&start=0&rows=6&wt=javabin&version=2} hits=6 status=0 QTime=0
2024-03-18 13:46:30.270 INFO  (qtp693267461-24-null-26) [c: s: r: x:restaurants t:null-26] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97494707071793+TO+41.154811391901674]+AND+longitude:[28.881524009064943+TO+29.120081546824494]&start=0&rows=0&wt=javabin&version=2} hits=6 status=0 QTime=2
2024-03-18 13:46:30.275 INFO  (qtp693267461-26-null-27) [c: s: r: x:restaurants t:null-27] o.a.s.c.S.Request webapp=/solr path=/select params={q=latitude:[40.97494707071793+TO+41.154811391901674]+AND+longitude:[28.881524009064943+TO+29.120081546824494]&start=0&rows=6&wt=javabin&version=2} hits=6 status=0 QTime=0
2024-03-18 13:56:59.547 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@376a312c{STOPPING}[10.0.19,sto=0]
2024-03-18 13:56:59.550 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-18 13:56:59.557 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=1537371824
2024-03-18 13:56:59.560 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@697ec8e8 restaurants
2024-03-18 13:56:59.561 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurants tag=SolrCore@697ec8e8
2024-03-18 13:56:59.576 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-03-18 13:56:59.609 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2024-03-18 13:56:59.615 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2024-03-18 13:56:59.618 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2024-03-18 13:56:59.624 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,null,STOPPED}{/opt/solr-9.5.0/server/solr-webapp/webapp}
